place,title,period,price,url
KINTEX,제7회 한국등공예연구회 등공예 강사 자격시험,2019.11.23 ~ 2020.05.02,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019026547&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=1
KINTEX,일산 최대규모 영어 어학원 입학설명회,2020.02.15 ~ 2020.04.18,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019026547
KINTEX,월드패밀리잉글리쉬 액티비티,2020.03.15 ~ 2020.03.15,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027666&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=1
KINTEX,마스타전기차 정비 심화기술 교육,2020.04.01 ~ 2020.04.01,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027666
KINTEX,머슬매니아 대회,2020.04.04 ~ 2020.09.19,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027707&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=1
KINTEX,셀메드세포교정의약학회 학술 세미나,2020.04.11 ~ 2020.04.11,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027707
KINTEX,월드패밀리잉글리쉬 쇼,2020.04.25 ~ 2020.04.25,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027594&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=1
KINTEX,제53회 MBC건축박람회 / 2020 동아 공공시설 및 조경박람회 / 2020 서울 조명 박람회 / 2020 서울 디지털프린팅·사인 엑스포 / 제25회 동아 홈&리빙페어 / 제19회 동아 기프트쇼 / 제17회 동아 차·공예 박람회 / 제14회 동아 가구 엑스포 / 제15회 동아 스포츠·레저산업 박람회,2020.05.08 ~ 2020.05.11,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027594
KINTEX,2020 서울국제식품산업대전,2020.05.19 ~ 2020.05.22,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019027359&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=1
KINTEX,여성창업플랫폼 꿈마루 여성창업리그,2020.05.20 ~ 2020.05.20,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019027359
KINTEX,2020년도 상반기 전역예정장병 취업박람회,2020.05.20 ~ 2020.05.21,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027763&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=2
KINTEX,드리시티 아쉬탕가 요가 워크샵,2020.05.23 ~ 2020.05.23,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027763
KINTEX,한국애묘인연합 CAT SHOW,2020.05.24 ~ 2020.11.15,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027705&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=2
KINTEX,2020 서울 캣 쇼,2020.05.29 ~ 2020.05.31,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027705
KINTEX,2020 대한민국 명품특산물 페스티벌,2020.06.04 ~ 2020.06.07,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019027190&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=2
KINTEX,2020 더골프쇼 KOREA,2020.06.04 ~ 2020.06.07,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019027190
KINTEX,2020 한국국제낚시박람회,2020.06.05 ~ 2020.06.07,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027667&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=2
KINTEX,경기국제보트쇼,2020.06.05 ~ 2020.06.07,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027667
KINTEX,2020 국제아웃도어캠핑&레포츠페스티벌,2020.06.05 ~ 2020.06.07,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027962&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=2
KINTEX,여성발명엑스포 부대행사,2020.06.10 ~ 2020.06.13,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027962
KINTEX,2020 마이 다이어트 페어,2020.06.11 ~ 2020.06.14,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027995&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=3
KINTEX,2020 여성발명왕 EXPO,2020.06.11 ~ 2020.06.14,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027995
KINTEX,2020 프리미엄 펫쇼,2020.06.12 ~ 2020.06.14,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027564&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=3
KINTEX,2020 세계태양에너지 엑스포,2020.06.17 ~ 2020.06.19,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027564
KINTEX,2020 금속산업대전,2020.06.17 ~ 2020.06.20,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019026869&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=3
KINTEX,저REC 환경과 태양광 사업 전략,2020.06.18 ~ 2020.06.18,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019026869
